t,analytic,delan
0.0,9.857706087554526,107.46148681640625
0.002,9.857706087554522,107.46148774770715
0.004,9.85770608755452,107.4614905595554
0.006,9.85770608755452,107.46148767987768
0.008,9.857706087554522,107.46148682808868
0.01,9.857706087554526,107.46148813762267
0.012,9.857706087554533,107.46149177203392
0.014,9.857706087554542,107.46149029818615
0.016,9.857706087554558,107.46149160182398
0.018000000000000002,9.857706087554577,107.46148831085328
0.02,9.857706087554604,107.46148838742064
0.022,9.857706087554636,107.46149215367758
0.024,9.857706087554677,107.46148473746138
0.026000000000000002,9.857706087554725,107.46149707500014
0.028,9.857706087554782,107.46149144317728
0.03,9.85770608755485,107.46149125851518
0.032,9.857706087554934,107.46148937951293
0.034,9.857706087555028,107.46149396463213
0.036000000000000004,9.857706087555139,107.4614903340454
0.038,9.857706087555263,107.46149439294827
0.04,9.857706087555407,107.46148379606701
0.042,9.857706087555568,107.46148215801651
0.044,9.857706087555748,107.46148256722161
0.046,9.85770608755595,107.4614780546884
0.048,9.857706087556172,107.46149225590116
0.05,9.857706087556416,107.46148778832004
0.052000000000000005,9.857706087556682,107.46148072183043
0.054,9.857706087556974,107.46148707840669
0.056,9.857706087557288,107.46148489559742
0.058,9.857706087557627,107.46148257002872
0.06,9.85770608755799,107.4614885360038
0.062,9.857706087558379,107.46148080784303
0.064,9.857706087558789,107.46148340541338
0.066,9.857706087559228,107.4614892523891
0.068,9.857706087559688,107.46148441490784
0.07,9.857706087560171,107.46148497620239
0.07200000000000001,9.857706087560677,107.46149154430191
0.074,9.857706087561201,107.46149008173632
0.076,9.857706087561745,107.46149700486592
0.078,9.85770608756231,107.46149005336366
0.08,9.857706087562885,107.46149372215898
0.082,9.857706087563475,107.4614927741437
0.084,9.857706087564075,107.46148897777391
0.08600000000000001,9.857706087564685,107.46148288396138
0.088,9.857706087565301,107.46149151281489
0.09,9.857706087565916,107.46147670938004
0.092,9.85770608756653,107.46148607855596
0.094,9.857706087567138,107.46148183044536
0.096,9.857706087567733,107.46148817106986
0.098,9.857706087568317,107.4614831686886
0.1,9.857706087568882,107.4614908541028
0.10200000000000001,9.857706087569422,107.46148922569918
0.10400000000000001,9.857706087569937,107.46148636274121
0.106,9.857706087570413,107.46147684072959
0.108,9.85770608757085,107.46149107535423
0.11,9.857706087571245,107.46148428156823
0.112,9.857706087571586,107.46148874907725
0.114,9.857706087571872,107.46148922650187
0.116,9.857706087572094,107.46148671136488
0.11800000000000001,9.857706087572245,107.4614909210828
0.12,9.857706087572323,107.46147822230566
0.122,9.857706087572312,107.46148918672415
0.124,9.857706087572216,107.46148511358527
0.126,9.857706087572026,107.46149845288197
0.128,9.85770608757173,107.46148275261936
0.13,9.857706087571323,107.46148667597222
0.132,9.857706087570802,107.46147943085022
0.134,9.857706087570154,107.46148471728934
0.136,9.857706087569376,107.46148716116572
0.138,9.857706087568463,107.46148957141854
0.14,9.8577060875674,107.46149102112058
0.14200000000000002,9.85770608756619,107.46148549672019
0.14400000000000002,9.857706087564821,107.46148800550823
0.146,9.857706087563285,107.46148513164609
0.148,9.857706087561578,107.4614764908573
0.15,9.857706087559695,107.46148587273726
0.152,9.857706087557625,107.4614835981225
0.154,9.857706087555364,107.46148562956392
0.156,9.857706087552904,107.46148420716558
0.158,9.857706087550241,107.46148891262796
0.16,9.857706087547365,107.46148382670685
0.162,9.857706087544276,107.46149130097636
0.164,9.857706087540963,107.46148379687045
0.166,9.857706087537425,107.46148310462898
0.168,9.85770608753365,107.46148329175449
0.17,9.857706087529637,107.46148240002088
0.17200000000000001,9.85770608752538,107.46148328414985
0.17400000000000002,9.85770608752087,107.46149191012437
0.176,9.85770608751611,107.46148746174575
0.178,9.857706087511087,107.46148531571338
0.18,9.857706087505795,107.46148466967682
0.182,9.857706087500237,107.46149305281507
0.184,9.857706087494405,107.4614895174685
0.186,9.857706087488289,107.46148869087625
0.188,9.857706087481889,107.46149016473667
0.19,9.8577060874752,107.46148778358385
0.192,9.857706087468216,107.46148070569731
0.194,9.857706087460937,107.46148419832798
0.196,9.857706087453348,107.46148322638439
0.198,9.857706087445454,107.46148650447459
0.2,9.857706087437245,107.4614772443225
0.202,9.857706087428717,107.46148683876733
0.20400000000000001,9.85770608741987,107.4614839192264
0.20600000000000002,9.857706087410696,107.46148363659306
0.20800000000000002,9.857706087401187,107.46148768458987
0.21,9.857706087391342,107.46148572724445
0.212,9.857706087381157,107.46148668587466
0.214,9.857706087370621,107.4614823139127
0.216,9.857706087359736,107.461496237289
0.218,9.857706087348493,107.46148712321796
0.22,9.857706087336888,107.4614871190562
0.222,9.857706087324916,107.4614818362304
0.224,9.857706087312568,107.46148261692278
0.226,9.857706087299842,107.46149133197825
0.228,9.85770608728673,107.46148516362669
0.23,9.85770608727323,107.46148440642702
0.232,9.857706087259333,107.46148139510132
0.234,9.857706087245031,107.46147561938659
0.23600000000000002,9.857706087230317,107.46148130812358
0.23800000000000002,9.857706087215192,107.46148400474802
0.24,9.85770608719964,107.46148224340493
0.242,9.857706087183658,107.4614872763915
0.244,9.85770608716724,107.46147922286058
0.246,9.857706087150383,107.46148590810337
0.248,9.857706087133076,107.46149072296504
0.25,9.857706087115309,107.46149197240621
0.252,9.857706087097078,107.46149061854514
0.254,9.857706087078377,107.46148171824413
0.256,9.857706087059196,107.46149100569572
0.258,9.85770608703953,107.46149129738373
0.26,9.85770608701937,107.46149001560272
0.262,9.85770608699871,107.46149353232705
0.264,9.85770608697754,107.46149242927999
0.266,9.857706086955858,107.46148932315627
0.268,9.857706086933655,107.46148076514537
0.27,9.857706086910923,107.46149035714788
0.272,9.85770608688766,107.46148110539032
0.274,9.857706086863853,107.46148885570149
0.276,9.857706086839498,107.4614869804834
0.278,9.857706086814591,107.46149966614581
0.28,9.857706086789127,107.46148936725288
0.28200000000000003,9.857706086763102,107.4614876388567
0.28400000000000003,9.85770608673651,107.46149135544516
0.28600000000000003,9.857706086709346,107.46148175538288
0.28800000000000003,9.85770608668161,107.461476082794
0.29,9.857706086653298,107.46148045511254
0.292,9.85770608662441,107.46149247102211
0.294,9.857706086594943,107.46147874869649
0.296,9.857706086564896,107.46148635228315
0.298,9.857706086534275,107.46148135047495
0.3,9.857706086503079,107.46149146775613
0.302,9.857706086471316,107.46149808645511
0.304,9.85770608643898,107.46148058482024
0.306,9.85770608640609,107.46148746755262
0.308,9.857706086372644,107.46147913624274
0.31,9.85770608633866,107.46148781474169
0.312,9.85770608630414,107.46148964666504
0.314,9.8577060862691,107.46148629730058
0.316,9.85770608623356,107.46147859487768
0.318,9.857706086197528,107.46148532069361
0.32,9.857706086161027,107.46149016680224
0.322,9.857706086124079,107.46148921376526
0.324,9.857706086086704,107.46148227841448
0.326,9.857706086048934,107.46148990773995
0.328,9.857706086010792,107.46149529964197
0.33,9.857706085972309,107.46148727774118
0.332,9.857706085933525,107.46149363497713
0.334,9.857706085894474,107.46147792789029
0.336,9.857706085855193,107.46148933295343
0.338,9.857706085815735,107.46148609475998
0.34,9.857706085776142,107.46148474505758
0.342,9.857706085736465,107.46148675362969
0.34400000000000003,9.857706085696762,107.4614809815287
0.34600000000000003,9.857706085657085,107.46147994123137
0.34800000000000003,9.857706085617506,107.46147938071238
0.35000000000000003,9.857706085578089,107.46148433265154
0.352,9.8577060855389,107.46148110245636
0.354,9.857706085500022,107.46149186308055
0.356,9.85770608546153,107.46149664622618
0.358,9.857706085423512,107.46148294088376
0.36,9.857706085386058,107.4614983805276
0.362,9.85770608534926,107.46148636688659
0.364,9.85770608531322,107.4614874054208
0.366,9.857706085278037,107.46149187205442
0.368,9.85770608524383,107.46148425442644
0.37,9.857706085210706,107.46148404270659
0.372,9.85770608517879,107.46148974361188
0.374,9.857706085148202,107.4614895406148
0.376,9.857706085119073,107.46148137047199
0.378,9.857706085091541,107.46148425074588
0.38,9.857706085065745,107.46148283445815
0.382,9.85770608504183,107.4614796656943
0.384,9.857706085019947,107.4614845291082
0.386,9.857706085000247,107.46148477816311
0.388,9.857706084982897,107.46149113794156
0.39,9.857706084968058,107.46148120842095
0.392,9.857706084955904,107.46149364750657
0.394,9.857706084946606,107.46147947173992
0.396,9.857706084940343,107.46147593765141
0.398,9.857706084937298,107.4614918772962
0.4,9.857706084937654,107.46148883858996
0.402,9.8577060849416,107.46148781070158
0.404,9.85770608494933,107.46149218941241
0.406,9.857706084961043,107.46148312808118
0.40800000000000003,9.857706084976924,107.46149089017436
0.41000000000000003,9.857706084997186,107.4614964311513
0.41200000000000003,9.857706085022027,107.46149292800885
0.41400000000000003,9.85770608505165,107.46149494016865
0.41600000000000004,9.85770608508625,107.46149275126928
0.418,9.857706085126036,107.46149014633929
0.42,9.857706085171207,107.46148757019171
0.422,9.85770608522197,107.46148811654584
0.424,9.857706085278524,107.4614935810691
0.426,9.857706085341066,107.46148390521877
0.428,9.857706085409788,107.46148688984417
0.43,9.857706085484885,107.46148659156216
0.432,9.85770608556654,107.46148173089972
0.434,9.857706085654948,107.46148990100664
0.436,9.857706085750277,107.46148446766055
0.438,9.857706085852708,107.46149333519026
0.44,9.857706085962402,107.46149407943041
0.442,9.857706086079515,107.46147943506381
0.444,9.8577060862042,107.461487371422
0.446,9.85770608633661,107.46148637797465
0.448,9.857706086476867,107.461482394406
0.45,9.857706086625097,107.46148496223546
0.452,9.857706086781418,107.46147864695149
0.454,9.857706086945928,107.46148404484401
